x;RGB_sum;Gray;Blurred;Contrasted
0;5;86;85;212
1;4;85;85;212
2;5;85;85;212
3;0;84;85;212
4;4;85;85;212
5;3;84;85;212
6;1;84;84;208
7;0;84;84;208
8;254;84;84;208
9;2;85;84;208
10;4;85;84;208
11;5;85;84;208
12;5;85;85;212
13;3;85;85;212
14;2;85;85;212
15;0;85;84;208
16;255;86;84;208
17;251;84;84;208
18;0;85;84;208
19;0;85;84;208
20;252;84;84;208
21;251;84;84;208
22;251;84;83;204
23;250;83;83;204
24;250;82;83;204
25;250;82;83;204
26;253;83;83;204
27;252;83;83;204
28;251;83;83;204
29;253;84;83;204
30;250;83;83;204
31;250;83;83;204
32;250;83;84;208
33;255;84;84;208
34;1;85;84;208
35;1;85;84;208
36;1;85;84;208
37;253;83;84;208
38;3;85;84;208
39;1;84;84;208
40;0;84;85;212
41;1;84;85;212
42;3;85;86;216
43;2;85;87;219
44;3;86;88;222
45;11;88;89;225
46;12;88;92;237
47;20;90;94;240
48;32;94;98;244
49;36;96;102;247
50;37;97;106;249
51;89;116;110;251
52;112;124;114;253
53;125;129;117;253
54;128;129;119;254
55;127;128;120;254
56;116;124;119;254
57;112;123;118;254
58;104;120;116;253
59;89;114;114;253
60;62;104;112;252
61;29;93;111;252
62;54;102;110;251
63;88;114;109;250
64;94;118;109;250
65;90;114;109;250
66;67;104;109;250
67;35;95;108;250
68;74;110;108;250
69;84;113;106;249
70;73;109;105;248
71;42;99;103;247
72;36;97;100;246
73;32;96;97;243
74;34;97;93;239
75;22;93;89;225
76;13;90;84;208
77;48;101;78;191
78;177;57;73;178
79;146;48;68;163
80;161;53;64;147
81;158;53;60;127
82;155;53;58;115
83;155;53;57;109
84;162;55;56;103
85;164;55;55;97
86;166;56;55;97
87;167;56;55;97
88;164;54;55;97
89;164;55;55;97
90;166;55;55;97
91;168;57;55;97
92;170;58;56;103
93;166;57;56;103
94;165;56;56;103
95;167;57;56;103
96;168;56;57;109
97;169;57;57;109
98;169;56;57;109
99;174;58;56;103
100;171;57;56;103
101;167;56;56;103
102;161;54;55;97
103;162;54;55;97
104;155;52;55;97
105;151;51;54;90
106;150;51;54;90
107;147;50;54;90
108;144;48;53;84
109;144;47;53;84
110;153;49;53;84
111;152;49;54;90
112;150;49;54;90
113;156;51;54;90
114;160;52;54;90
115;161;52;55;97
116;150;48;56;103
117;161;52;57;109
118;162;52;58;115
119;164;53;60;127
120;171;55;63;142
121;163;54;66;155
122;194;66;70;169
123;230;78;73;178
124;237;80;76;186
125;249;83;79;194
126;251;83;80;196
127;242;82;80;196
128;241;83;80;196
129;239;82;77;188
130;236;81;74;181
131;215;71;70;169
132;139;43;66;155
133;135;42;63;142
134;154;49;60;127
135;151;49;57;109
136;150;49;56;103
137;150;48;55;97
138;153;49;55;97
139;154;50;55;97
140;163;54;55;97
141;167;55;55;97
142;164;54;55;97
143;159;52;55;97
144;155;51;54;90
145;153;50;54;90
146;149;49;54;90
147;146;47;54;90
148;147;48;54;90
149;153;49;54;90
150;151;48;54;90
151;155;50;55;97
152;154;49;55;97
153;151;49;55;97
154;152;50;55;97
155;152;50;55;97
156;156;51;55;97
157;153;50;54;90
158;150;49;54;90
159;145;48;55;97
160;141;47;55;97
161;140;46;56;103
162;142;47;57;109
163;140;47;58;115
164;157;52;60;127
165;172;57;63;142
166;178;59;66;155
167;197;67;69;166
168;216;73;73;178
169;224;76;76;186
170;246;85;79;194
171;0;87;82;201
172;3;87;83;204
173;255;86;84;208
174;248;83;83;204
175;245;83;81;199
176;240;82;79;194
177;240;81;75;183
178;208;69;71;172
179;149;50;68;163
180;153;51;65;151
181;147;50;63;142
182;152;52;61;132
183;163;55;60;127
184;169;57;60;127
185;179;61;60;127
186;189;64;60;127
187;188;64;61;132
188;182;62;61;132
189;186;63;60;127
190;185;62;59;121
191;180;60;59;121
192;172;57;58;115
193;167;56;56;103
194;155;52;55;97
195;145;49;54;90
196;142;48;54;90
197;135;45;53;84
198;139;46;53;84
199;141;46;53;84
200;142;47;53;84
201;151;49;53;84
202;153;49;54;90
203;146;48;54;90
204;157;53;54;90
205;163;55;54;90
206;162;54;54;90
207;148;49;54;90
208;148;48;53;84
209;137;45;53;84
210;134;45;53;84
211;134;45;53;84
212;134;45;54;90
213;136;45;56;103
214;148;49;58;115
215;166;55;62;137
216;184;61;65;151
217;195;66;70;169
218;233;81;74;181
219;251;87;78;191
220;252;87;80;196
221;251;86;82;201
222;238;82;82;201
223;231;79;81;199
224;227;78;79;194
225;228;79;75;183
226;219;76;71;172
227;180;60;66;155
228;105;32;62;137
229;125;40;58;115
230;124;41;55;97
231;120;40;53;84
232;119;40;52;78
233;129;43;52;78
234;138;45;52;78
235;141;47;53;84
236;148;49;53;84
237;160;53;54;90
238;163;55;54;90
239;160;54;54;90
240;152;51;54;90
241;148;50;54;90
242;151;51;54;90
243;158;54;54;90
244;159;54;54;90
245;153;52;54;90
246;153;51;53;84
247;151;51;53;84
248;155;54;53;84
249;155;54;53;84
250;152;54;52;78
251;162;56;52;78
252;152;52;52;78
253;143;49;51;71
254;143;50;51;71
255;155;53;51;71
256;145;49;50;65
257;148;50;50;65
258;143;48;50;65
259;137;46;51;71
260;132;44;52;78
261;136;45;54;90
262;143;48;57;109
263;165;55;61;132
264;198;66;65;151
265;212;71;69;166
266;244;82;73;178
