x;RGB_sum;Gray;Blurred;Contrasted
0;261;86;86;84
1;260;85;85;81
2;261;85;85;81
3;256;84;84;79
4;260;85;84;79
5;259;84;84;79
6;257;84;84;79
7;256;84;84;79
8;254;84;84;79
9;258;85;84;79
10;260;85;85;81
11;261;85;85;81
12;261;85;85;81
13;259;85;85;81
14;258;85;85;81
15;256;85;85;81
16;255;86;85;81
17;251;84;84;79
18;256;85;84;79
19;256;85;84;79
20;252;84;84;79
21;251;84;84;79
22;251;84;83;76
23;250;83;83;76
24;250;82;83;76
25;250;82;83;76
26;253;83;83;76
27;252;83;83;76
28;251;83;83;76
29;253;84;83;76
30;250;83;83;76
31;250;83;83;76
32;250;83;83;76
33;255;84;83;76
34;257;85;84;79
35;257;85;84;79
36;257;85;84;79
37;253;83;84;79
38;259;85;84;79
39;257;84;84;79
40;256;84;84;79
41;257;84;84;80
42;259;85;85;82
43;258;85;85;83
44;259;86;86;87
45;267;88;87;90
46;268;88;89;96
47;276;90;91;101
48;288;94;93;106
49;292;96;97;115
50;293;97;103;130
51;345;116;112;151
52;368;124;121;169
53;381;129;126;179
54;384;129;128;183
55;383;128;127;181
56;372;124;125;177
57;368;123;122;172
58;360;120;118;166
59;345;114;113;157
60;318;104;106;141
61;285;93;101;131
62;310;102;104;138
63;344;114;110;151
64;350;118;114;160
65;346;114;112;156
66;323;104;107;146
67;291;95;105;142
68;330;110;108;149
69;340;113;111;156
70;329;109;110;154
71;298;99;104;142
72;292;97;99;133
73;288;96;97;130
74;290;97;95;126
75;278;93;94;125
76;269;90;91;119
77;304;101;81;97
78;177;57;65;70
79;146;48;54;52
80;161;53;52;48
81;158;53;53;50
82;155;53;54;52
83;155;53;54;53
84;162;55;55;55
85;164;55;55;55
86;166;56;55;56
87;167;56;55;56
88;164;54;54;54
89;164;55;54;54
90;166;55;55;56
91;168;57;56;59
92;170;58;56;59
93;166;57;56;59
94;165;56;56;60
95;167;57;56;60
96;168;56;57;62
97;169;57;57;63
98;169;56;57;63
99;174;58;57;63
100;171;57;57;63
101;167;56;56;62
102;161;54;55;60
103;162;54;54;57
104;155;52;53;56
105;151;51;52;54
106;150;51;51;51
107;147;50;50;49
108;144;48;50;50
109;144;47;49;47
110;153;49;50;50
111;152;49;50;50
112;150;49;50;50
113;156;51;51;53
114;160;52;52;55
115;161;52;52;56
116;150;48;53;58
117;161;52;53;58
118;162;52;53;59
119;164;53;53;59
120;171;55;54;62
121;163;54;58;72
122;194;66;66;91
123;230;78;75;113
124;237;80;80;124
125;249;83;82;129
126;251;83;83;132
127;242;82;83;132
128;241;83;83;132
129;239;82;82;130
130;236;81;78;120
131;215;71;69;99
132;139;43;57;70
133;135;42;51;55
134;154;49;49;50
135;151;49;49;50
136;150;49;49;50
137;150;48;49;50
138;153;49;50;53
139;154;50;51;56
140;163;54;52;58
141;167;55;53;61
142;164;54;53;61
143;159;52;52;59
144;155;51;51;56
145;153;50;50;54
146;149;49;49;51
147;146;47;49;51
148;147;48;49;51
149;153;49;50;54
150;151;48;50;54
151;155;50;51;57
152;154;49;51;57
153;151;49;51;57
154;152;50;51;57
155;152;50;51;57
156;156;51;51;57
157;153;50;50;55
158;150;49;50;55
159;145;48;49;52
160;141;47;48;50
161;140;46;48;50
162;142;47;49;52
163;140;47;50;55
164;157;52;53;63
165;172;57;57;73
166;178;59;61;82
167;197;67;66;95
168;216;73;72;108
169;224;76;77;121
170;246;85;82;133
171;256;87;86;143
172;259;87;86;143
173;255;86;86;143
174;248;83;85;141
175;245;83;84;139
176;240;82;82;134
177;240;81;77;121
178;208;69;68;100
179;149;50;59;79
180;153;51;54;66
181;147;50;53;64
182;152;52;54;67
183;163;55;55;69
184;169;57;58;77
185;179;61;60;82
186;189;64;62;87
187;188;64;63;89
188;182;62;63;89
189;186;63;62;87
190;185;62;62;87
191;180;60;60;82
192;172;57;58;77
193;167;56;55;70
194;155;52;53;65
195;145;49;50;58
196;142;48;48;53
197;135;45;47;50
198;139;46;47;50
199;141;46;48;53
200;142;47;49;56
201;151;49;50;58
202;153;49;51;60
203;146;48;52;63
204;157;53;53;65
205;163;55;54;68
206;162;54;53;65
207;148;49;51;60
208;148;48;49;55
209;137;45;48;53
210;134;45;47;50
211;134;45;47;50
212;134;45;48;53
213;136;45;50;58
214;148;49;52;63
215;166;55;56;73
216;184;61;61;85
217;195;66;68;102
218;233;81;77;122
219;251;87;84;140
220;252;87;86;144
221;251;86;85;141
222;238;82;83;137
223;231;79;81;131
224;227;78;79;126
225;228;79;78;124
226;219;76;72;110
227;180;60;60;82
228;105;32;49;55
229;125;40;44;42
230;124;41;43;40
231;120;40;43;40
232;119;40;44;42
233;129;43;45;45
234;138;45;47;50
235;141;47;48;53
236;148;49;51;60
237;160;53;53;65
238;163;55;54;67
239;160;54;53;65
240;152;51;52;62
241;148;50;51;60
242;151;51;52;62
243;158;54;52;62
244;159;54;53;65
245;153;52;52;62
246;153;51;51;60
247;151;51;51;60
248;155;54;52;62
249;155;54;52;62
250;152;54;52;62
251;162;56;52;62
252;152;52;51;60
253;143;49;50;57
254;143;50;50;57
255;155;53;50;57
256;145;49;49;55
257;148;50;48;52
258;143;48;47;50
259;137;46;45;45
260;132;44;45;45
261;136;45;47;50
262;143;48;50;57
263;165;55;56;72
264;198;66;63;88
265;212;71;71;107
266;244;82;78;123
267;247;83;81;130
268;247;83;82;132
269;241;81;81;129
270;237;80;80;127
271;238;80;79;124
272;229;77;77;119
273;218;73;72;110
274;208;69;66;95
275;163;54;58;76
276;151;50;53;64
277;153;51;51;60
278;157;53;52;62
279;156;52;52;62
280;150;50;50;56
281;144;48;48;51
282;138;46;46;46
283;133;44;44;41
284;128;43;43;39
285;125;42;43;39
286;128;43;43;39
287;135;45;44;41
288;139;47;46;45
289;139;47;47;48
290;144;48;47;48
291;141;46;47;48
292;139;45;46;45
293;134;44;45;43
294;135;43;43;37
295;131;43;43;37
296;132;44;44;39
297;155;52;45;42
298;144;49;46;44
299;148;50;47;47
300;149;50;48;49
301;146;49;48;49
302;148;49;48;48
303;138;46;48;48
304;143;48;49;51
305;151;50;50;53
306;152;49;50;53
307;151;49;50;53
308;149;49;50;53
309;149;49;50;53
310;149;49;50;52
311;154;50;52;57
312;167;54;56;67
313;171;57;61;79
314;203;69;69;98
315;227;77;76;113
316;234;79;79;120
317;241;82;81;124
318;249;84;83;129
319;249;85;84;131
320;254;87;85;134
321;257;88;85;133
322;269;91;81;124
323;213;71;71;101
324;183;59;61;78
325;172;56;55;63
326;163;54;53;58
327;165;56;52;55
328;165;56;51;53
329;151;51;50;50
330;151;51;49;48
331;150;51;49;47
332;148;51;48;44
333;142;49;47;42
334;138;47;46;39
335;137;47;45;37
336;140;48;46;39
337;142;48;46;39
338;149;50;47;42
339;144;49;47;41
340;144;48;47;41
341;154;52;48;43
342;155;52;48;43
343;155;52;48;43
344;142;48;48;43
345;146;49;47;41
346;148;49;48;42
347;149;49;48;42
348;154;50;49;45
349;153;51;49;45
350;151;50;49;45
351;144;49;48;42
352;141;49;48;42
353;144;49;48;41
354;141;48;48;41
355;144;49;49;44
356;146;48;49;44
357;148;49;49;44
358;152;50;49;44
359;146;48;49;44
360;145;48;49;44
361;147;48;50;45
362;153;50;52;50
363;148;49;57;63
364;190;64;68;90
365;263;89;81;119
366;275;93;90;141
367;278;93;94;151
368;287;96;96;156
369;290;97;97;159
370;289;97;97;158
371;288;98;96;156
372;274;94;94;151
373;288;97;87;133
374;228;76;74;103
375;175;58;62;75
376;167;56;54;54
377;155;53;52;49
378;152;52;51;47
379;152;52;51;47
380;153;52;52;49
381;154;52;52;49
382;156;52;51;47
383;155;51;51;46
384;151;50;50;44
385;147;49;50;44
386;144;49;50;44
387;147;50;50;43
388;146;50;50;43
389;142;48;49;41
390;142;48;49;41
391;143;49;49;41
392;143;49;49;41
393;144;49;49;41
394;143;48;48;38
395;139;47;48;38
396;138;46;48;38
397;145;48;49;40
398;151;49;49;40
399;144;47;48;38
400;138;46;48;38
401;140;46;47;35
402;141;46;47;35
403;139;45;47;35
404;140;45;47;35
405;144;47;47;35
406;147;48;48;37
407;150;49;49;39
408;149;49;49;39
409;145;48;49;39
410;146;48;49;39
411;155;50;51;44
412;164;53;56;57
413;189;64;66;82
414;263;90;78;109
415;251;85;84;123
416;255;85;86;128
417;256;86;86;128
418;253;84;86;128
419;255;85;86;128
420;250;84;86;128
421;249;84;84;123
422;263;90;79;111
423;200;67;69;88
424;182;59;60;66
425;161;52;54;51
426;156;50;51;43
427;150;49;50;40
428;147;49;50;40
429;149;50;50;40
430;148;50;50;40
431;152;50;50;40
432;157;50;50;40
433;152;49;50;40
434;151;49;49;37
435;151;49;49;37
436;152;50;50;40
437;155;50;50;40
438;156;50;50;40
439;150;49;50;40
440;148;49;49;36
441;145;48;49;36
442;146;47;49;36
443;150;49;49;36
444;151;50;49;36
445;142;48;48;34
446;139;47;48;34
447;140;48;48;34
448;139;47;49;36
449;147;50;50;39
450;151;51;50;39
451;150;51;51;41
452;149;51;51;41
453;153;52;51;41
454;155;52;51;41
455;155;51;51;40
456;157;51;51;40
457;156;51;52;43
458;169;56;52;43
459;160;52;52;43
460;158;51;52;43
461;160;52;52;43
462;158;52;52;43
463;157;52;53;45
464;160;53;54;48
465;170;57;57;55
466;180;60;63;70
467;219;72;71;90
468;242;80;78;105
469;245;81;82;115
470;252;83;84;119
471;257;85;85;121
472;257;86;85;121
473;251;85;85;121
474;246;85;84;118
475;264;88;78;105
476;212;68;67;79
477;147;47;56;52
478;159;51;51;39
479;156;51;50;37
480;158;52;51;39
481;156;52;51;39
482;158;53;51;39
483;153;52;51;39
484;154;53;52;41
485;158;54;53;43
486;159;54;53;43
487;160;54;53;43
488;158;53;53;43
489;154;52;53;43
490;158;53;53;43
491;160;54;53;43
492;158;54;53;43
493;166;56;54;46
494;169;56;55;48
495;173;56;56;50
496;181;57;59;58
497;193;62;61;63
498;197;63;63;68
499;195;63;64;70
500;193;63;64;70
501;192;63;64;70
502;193;64;65;72
